C867  EA        NOP                               A:00 X:00 Y:00 P:6E SP:FB CYC:329
C868  A9 00     LDA #$00                          A:00 X:00 Y:00 P:6E SP:FB CYC:331
C86A  85 01     STA $01 = FF                      A:00 X:00 Y:00 P:6E SP:FB CYC:333
C86C  24 01     BIT $01 = 00                      A:00 X:00 Y:00 P:6E SP:FB CYC:336
C86E  38        SEC                               A:00 X:00 Y:00 P:2E SP:FB CYC:339
C86F  A9 FF     LDA #$FF                          A:00 X:00 Y:00 P:2F SP:FB CYC:341
C871  48        PHA                               A:FF X:00 Y:00 P:AD SP:FB CYC:343
C872  A9 00     LDA #$00                          A:FF X:00 Y:00 P:AD SP:FA CYC:346
C874  68        PLA                               A:00 X:00 Y:00 P:2F SP:FA CYC:348
C875  F0 09     BEQ $C880                         A:FF X:00 Y:00 P:AD SP:FB CYC:352
C877  10 07     BPL $C880                         A:FF X:00 Y:00 P:AD SP:FB CYC:354
C879  70 05     BVS $C880                         A:FF X:00 Y:00 P:AD SP:FB CYC:356
C87B  90 03     BCC $C880                         A:FF X:00 Y:00 P:AD SP:FB CYC:358
C87D  4C 84 C8  JMP $C884                         A:FF X:00 Y:00 P:AD SP:FB CYC:360
C884  60        RTS                               A:FF X:00 Y:00 P:AD SP:FB CYC:363
C603  20 85 C8  JSR $C885                         A:FF X:00 Y:00 P:AD SP:FD CYC:369
C885  EA        NOP                               A:FF X:00 Y:00 P:AD SP:FB CYC:375
C886  18        CLC                               A:FF X:00 Y:00 P:AD SP:FB CYC:377
C887  A9 FF     LDA #$FF                          A:FF X:00 Y:00 P:AC SP:FB CYC:379
C889  85 01     STA $01 = 00                      A:FF X:00 Y:00 P:AC SP:FB CYC:381
C88B  24 01     BIT $01 = FF                      A:FF X:00 Y:00 P:AC SP:FB CYC:384
C88D  A9 55     LDA #$55                          A:FF X:00 Y:00 P:EC SP:FB CYC:387
C88F  09 AA     ORA #$AA                          A:55 X:00 Y:00 P:6C SP:FB CYC:389
C891  B0 0B     BCS $C89E                         A:FF X:00 Y:00 P:EC SP:FB CYC:391
C893  10 09     BPL $C89E                         A:FF X:00 Y:00 P:EC SP:FB CYC:393
C895  C9 FF     CMP #$FF                          A:FF X:00 Y:00 P:EC SP:FB CYC:395
C897  D0 05     BNE $C89E                         A:FF X:00 Y:00 P:6F SP:FB CYC:397
C899  50 03     BVC $C89E                         A:FF X:00 Y:00 P:6F SP:FB CYC:399
C89B  4C A2 C8  JMP $C8A2                         A:FF X:00 Y:00 P:6F SP:FB CYC:401
C8A2  EA        NOP                               A:FF X:00 Y:00 P:6F SP:FB CYC:404
C8A3  38        SEC                               A:FF X:00 Y:00 P:6F SP:FB CYC:406
C8A4  B8        CLV                               A:FF X:00 Y:00 P:6F SP:FB CYC:408
C8A5  A9 00     LDA #$00                          A:FF X:00 Y:00 P:2F SP:FB CYC:410
C8A7  09 00     ORA #$00                          A:00 X:00 Y:00 P:2F SP:FB CYC:412
C8A9  D0 09     BNE $C8B4                         A:00 X:00 Y:00 P:2F SP:FB CYC:414
C8AB  70 07     BVS $C8B4                         A:00 X:00 Y:00 P:2F SP:FB CYC:416
C8AD  90 05     BCC $C8B4                         A:00 X:00 Y:00 P:2F SP:FB CYC:418
C8AF  30 03     BMI $C8B4                         A:00 X:00 Y:00 P:2F SP:FB CYC:420
C8B1  4C B8 C8  JMP $C8B8                         A:00 X:00 Y:00 P:2F SP:FB CYC:422
C8B8  EA        NOP                               A:00 X:00 Y:00 P:2F SP:FB CYC:425
C8B9  18        CLC                               A:00 X:00 Y:00 P:2F SP:FB CYC:427
C8BA  24 01     BIT $01 = FF                      A:00 X:00 Y:00 P:2E SP:FB CYC:429
C8BC  A9 55     LDA #$55                          A:00 X:00 Y:00 P:EE SP:FB CYC:432
C8BE  29 AA     AND #$AA                          A:55 X:00 Y:00 P:6C SP:FB CYC:434
C8C0  D0 09     BNE $C8CB                         A:00 X:00 Y:00 P:6E SP:FB CYC:436
C8C2  50 07     BVC $C8CB                         A:00 X:00 Y:00 P:6E SP:FB CYC:438
C8C4  B0 05     BCS $C8CB                         A:00 X:00 Y:00 P:6E SP:FB CYC:440
C8C6  30 03     BMI $C8CB                         A:00 X:00 Y:00 P:6E SP:FB CYC:442
C8C8  4C CF C8  JMP $C8CF                         A:00 X:00 Y:00 P:6E SP:FB CYC:444
C8CF  EA        NOP                               A:00 X:00 Y:00 P:6E SP:FB CYC:447
C8D0  38        SEC                               A:00 X:00 Y:00 P:6E SP:FB CYC:449
C8D1  B8        CLV                               A:00 X:00 Y:00 P:6F SP:FB CYC:451
C8D2  A9 F8     LDA #$F8                          A:00 X:00 Y:00 P:2F SP:FB CYC:453
C8D4  29 EF     AND #$EF                          A:F8 X:00 Y:00 P:AD SP:FB CYC:455
C8D6  90 0B     BCC $C8E3                         A:E8 X:00 Y:00 P:AD SP:FB CYC:457
C8D8  10 09     BPL $C8E3                         A:E8 X:00 Y:00 P:AD SP:FB CYC:459
C8DA  C9 E8     CMP #$E8                          A:E8 X:00 Y:00 P:AD SP:FB CYC:461
C8DC  D0 05     BNE $C8E3                         A:E8 X:00 Y:00 P:2F SP:FB CYC:463
C8DE  70 03     BVS $C8E3                         A:E8 X:00 Y:00 P:2F SP:FB CYC:465
C8E0  4C E7 C8  JMP $C8E7                         A:E8 X:00 Y:00 P:2F SP:FB CYC:467
C8E7  EA        NOP                               A:E8 X:00 Y:00 P:2F SP:FB CYC:470
C8E8  18        CLC                               A:E8 X:00 Y:00 P:2F SP:FB CYC:472
C8E9  24 01     BIT $01 = FF                      A:E8 X:00 Y:00 P:2E SP:FB CYC:474
C8EB  A9 5F     LDA #$5F                          A:E8 X:00 Y:00 P:EC SP:FB CYC:477
C8ED  49 AA     EOR #$AA                          A:5F X:00 Y:00 P:6C SP:FB CYC:479
C8EF  B0 0B     BCS $C8FC                         A:F5 X:00 Y:00 P:EC SP:FB CYC:481
C8F1  10 09     BPL $C8FC                         A:F5 X:00 Y:00 P:EC SP:FB CYC:483
C8F3  C9 F5     CMP #$F5                          A:F5 X:00 Y:00 P:EC SP:FB CYC:485
C8F5  D0 05     BNE $C8FC                         A:F5 X:00 Y:00 P:6F SP:FB CYC:487
C8F7  50 03     BVC $C8FC                         A:F5 X:00 Y:00 P:6F SP:FB CYC:489
C8F9  4C 00 C9  JMP $C900                         A:F5 X:00 Y:00 P:6F SP:FB CYC:491
C900  EA        NOP                               A:F5 X:00 Y:00 P:6F SP:FB CYC:494
C901  38        SEC                               A:F5 X:00 Y:00 P:6F SP:FB CYC:496
C902  B8        CLV                               A:F5 X:00 Y:00 P:6F SP:FB CYC:498
C903  A9 70     LDA #$70                          A:F5 X:00 Y:00 P:2F SP:FB CYC:500
C905  49 70     EOR #$70                          A:70 X:00 Y:00 P:2D SP:FB CYC:502
C907  D0 09     BNE $C912                         A:00 X:00 Y:00 P:2F SP:FB CYC:504
C909  70 07     BVS $C912                         A:00 X:00 Y:00 P:2F SP:FB CYC:506
C90B  90 05     BCC $C912                         A:00 X:00 Y:00 P:2F SP:FB CYC:508
C90D  30 03     BMI $C912                         A:00 X:00 Y:00 P:2F SP:FB CYC:510
C90F  4C 16 C9  JMP $C916                         A:00 X:00 Y:00 P:2F SP:FB CYC:512
C916  EA        NOP                               A:00 X:00 Y:00 P:2F SP:FB CYC:515
C917  18        CLC                               A:00 X:00 Y:00 P:2F SP:FB CYC:517
C918  24 01     BIT $01 = FF                      A:00 X:00 Y:00 P:2E SP:FB CYC:519
C91A  A9 00     LDA #$00                          A:00 X:00 Y:00 P:EE SP:FB CYC:522
C91C  69 69     ADC #$69                          A:00 X:00 Y:00 P:6E SP:FB CYC:524
C91E  30 0B     BMI $C92B                         A:69 X:00 Y:00 P:2C SP:FB CYC:526
C920  B0 09     BCS $C92B                         A:69 X:00 Y:00 P:2C SP:FB CYC:528
C922  C9 69     CMP #$69                          A:69 X:00 Y:00 P:2C SP:FB CYC:530
C924  D0 05     BNE $C92B                         A:69 X:00 Y:00 P:2F SP:FB CYC:532
C926  70 03     BVS $C92B                         A:69 X:00 Y:00 P:2F SP:FB CYC:534
C928  4C 2F C9  JMP $C92F                         A:69 X:00 Y:00 P:2F SP:FB CYC:536
C92F  EA        NOP                               A:69 X:00 Y:00 P:2F SP:FB CYC:539
C930  38        SEC                               A:69 X:00 Y:00 P:2F SP:FB CYC:541
C931  F8        SED                               A:69 X:00 Y:00 P:2F SP:FB CYC:543
C932  24 01     BIT $01 = FF                      A:69 X:00 Y:00 P:2F SP:FB CYC:545
C934  A9 01     LDA #$01                          A:69 X:00 Y:00 P:ED SP:FB CYC:548
C936  69 69     ADC #$69                          A:01 X:00 Y:00 P:6D SP:FB CYC:550
C938  30 0B     BMI $C945                         A:6B X:00 Y:00 P:2C SP:FB CYC:552
C93A  B0 09     BCS $C945                         A:6B X:00 Y:00 P:2C SP:FB CYC:554
C93C  C9 6B     CMP #$6B                          A:6B X:00 Y:00 P:2C SP:FB CYC:556
C93E  D0 05     BNE $C945                         A:6B X:00 Y:00 P:2F SP:FB CYC:558
C940  70 03     BVS $C945                         A:6B X:00 Y:00 P:2F SP:FB CYC:560
C942  4C 49 C9  JMP $C949                         A:6B X:00 Y:00 P:2F SP:FB CYC:562
C949  EA        NOP                               A:6B X:00 Y:00 P:2F SP:FB CYC:565
C94A  D8        CLD                               A:6B X:00 Y:00 P:2F SP:FB CYC:567
C94B  38        SEC                               A:6B X:00 Y:00 P:27 SP:FB CYC:569
C94C  B8        CLV                               A:6B X:00 Y:00 P:27 SP:FB CYC:571
C94D  A9 7F     LDA #$7F                          A:6B X:00 Y:00 P:27 SP:FB CYC:573
C94F  69 7F     ADC #$7F                          A:7F X:00 Y:00 P:25 SP:FB CYC:575
C951  10 0B     BPL $C95E                         A:FF X:00 Y:00 P:E4 SP:FB CYC:577
C953  B0 09     BCS $C95E                         A:FF X:00 Y:00 P:E4 SP:FB CYC:579
C955  C9 FF     CMP #$FF                          A:FF X:00 Y:00 P:E4 SP:FB CYC:581
C957  D0 05     BNE $C95E                         A:FF X:00 Y:00 P:67 SP:FB CYC:583
C959  50 03     BVC $C95E                         A:FF X:00 Y:00 P:67 SP:FB CYC:585
C95B  4C 62 C9  JMP $C962                         A:FF X:00 Y:00 P:67 SP:FB CYC:587
C962  EA        NOP                               A:FF X:00 Y:00 P:67 SP:FB CYC:590
C963  18        CLC                               A:FF X:00 Y:00 P:67 SP:FB CYC:592
C964  24 01     BIT $01 = FF                      A:FF X:00 Y:00 P:66 SP:FB CYC:594
C966  A9 7F     LDA #$7F                          A:FF X:00 Y:00 P:E4 SP:FB CYC:597
C968  69 80     ADC #$80                          A:7F X:00 Y:00 P:64 SP:FB CYC:599
C96A  10 0B     BPL $C977                         A:FF X:00 Y:00 P:A4 SP:FB CYC:601
C96C  B0 09     BCS $C977                         A:FF X:00 Y:00 P:A4 SP:FB CYC:603
C96E  C9 FF     CMP #$FF                          A:FF X:00 Y:00 P:A4 SP:FB CYC:605
